Standard Drug Name	ID	Gene(s)	Source(s)	Source Drug Name	Show Drug Name	Family(ies)	Status	Pathology	Cancer(s)	target	marker
PARBENDAZOLE	26596.0	ACOXL|ACVR2A|ACVRL1|ADAM28|ADAM32|ADARB2|ADHFE1|ADK|AFF1|AFF4|AKAP9|ALK|AMHR2|AR|ARID1A|ARNT|ATF2|ATR|AXIN1|AXIN2|AXL|BAI1|BCKDK|BCL9|BIRC6|BLK|BMF|BMI1|BMP2K|BMPR1A|BMPR1B|BRCA1|BRCA2|BRCC3|BRIP1|CACNA1F|CACNB2|CAD|CASC5|CASK|CASP10|CASP8|CCDC6|CCR4|CD160|CDC34|CDC42BPA|CDC42BPG|CDH1|CDH3|CDK12|CDK3|CDKL2|CDKL3|CEBPA|CFI|CHD1|CHD5|CHD9|CHEK2|CHL1|CIT|CLTC|CLTCL1|CNTN6|CNTRL|CREB1|CRTC1|CSF3|CSMD3|CTBP2|CTNNB1|CTSL1|CYFIP1|CYLD|DAB1|DACH1|DCLK2|DDR1|DFNA5|DLC1|DOCK3|DYRK1A|EIF3A|EIF4G1|ELAVL1|ELF4|EP300|EPHA4|EPHA6|EPHB4|ERBB4|ERCC5|ETV1|EXT1|F8|FAM118A|FANCA|FANCE|FBN1|FBXO43|FBXW7|FER|FGF19|FGFR1|FGFR2|FGFR3|FLNC|FLT4|FN1|FOS|FOXO3|FZD1|GATA2|GLI1|GLTSCR1|GLYAT|GNAS|GPR112|GPR87|GRK1|GRK4|GRK5|GRK6|GRK7|GSG2|GSK3B|HAPLN1|HDAC2|HDAC4|HDLBP|HECW1|HERC2|HIP1|HIPK2|HSP90B1|IDH1|IFNG|IKBKB|IL17RD|IL1A|IL1R1|INPP4B|INSR|IRAK2|IRS1|ITGB8|ITPR1|JAG1|JARID2|JAZF1|JUNB|KALRN|KAT6A|KAT6B|KDM5A|KDM6A|KIAA1549|KLK7|LAMA1|LATS1|LATS2|LCK|LCP1|LDLR|LETM2|LIFR|LIMK1|LRGUK|LRP1|LRP2|LRRK2|LTK|LYN|MALT1|MAML2|MAP2K2|MAP3K4|MAP3K5|MAP4K5|MAPKAPK3|MARK3|MAST2|MASTL|MCF2|MCM4|MDM4|MECOM|MEN1|MGA|MITF|MLH1|MLL3|MLLT4|MLLT6|MN1|MPL|MSH2|MSH6|MTMR11|MTOR|MUSK|MYC|MYH1|MYH9|MYLK|MYLK2|N4BP2|NAV3|NCAPD3|NCOA3|NEK1|NEK5|NEK6|NEK9|NF1|NFKB1|NIN|NIPBL|NOS2|NOS3|NOTCH2|NOTCH3|NOTCH4|NPAT|NR2F1|NRBP1|NSD1|NUDT10|NUDT11|NUP98|OBSCN|P2RX7|P4HB|PAXIP1|PCDH15|PDCD1|PDCD11|PDE4DIP|PDK3|PEAK1|PHIP|PI4KA|PIK3C2A|PIK3C3|PIK3CA|PIK3CB|PIK3CD|PIK3R4|PIP5K1B|PIP5K1C|PKHD1|PKN2|PLD1|PLEKHA5|PLK3|PORCN|PPARGC1A|PPM1E|PPP3CB|PRCC|PREX2|PRKAA2|PRKCB|PSEN1|PSIP1|PTCH2|PTPRC|PTPRD|PXK|RAC1|RAD50|RASGRF1|RASGRF2|RB1|RBBP8|REL|RGL1|RGS22|RHPN2|RIF1|RIPK4|RNASEL|ROBO1|ROBO2|ROCK2|ROR2|RPS6KA3|SCYL2|SEMA3B|SHC1|SIK2|SIK3|SLK|SMAD2|SMURF1|SNX19|SOS1|SOST|SOX10|SOX2|SP140|SPEN|STAR|STAT6|STIL|STK10|STK32A|STK38|STK38L|STK40|STRADA|STRADB|SYK|TCF12|TESK2|TFG|TIE1|TLE1|TLK1|TLR7|TMEM74|TMPO|TNFRSF11B|TNFRSF9|TNK2|TNKS2|TOP2A|TOX|TP53RK|TPM4|TPO|TPR|TRAF2|TRIM36|TRIM42|TRIO|TRIP11|TRRAP|TSSK4|TTL|TTN|UBR5|ULK2|ULK3|UNC13C|VDAC1|VRK1|VRK2|WEE1|WNK1|WRN|XIAP|YSK4|ZBTB16|ZMYM2|ZNF331|ZNF497|ZNF668|ACACB|ADAM12|AGAP2|ALPK2|BAG4|BCL3|CDH2|CSNK1E|DGKG|EGFR|EPHA3|EPHA5|FGFR1OP|FLNA|HEPH|HOXD13|ITK|MAP3K1|MAPK12|MLL|MST1R|NUAK2|NYNRIN|OSR1|PIK3C2G|PRAME|RALA|SLC14A1|SMAD4|SOGA2|TEK|TRIM28|WLS	CTRP	PARBENDAZOLE	PARBENDAZOLE	tubulin polymerization inhibitor(Cmap)	EXPERIMENTAL	-	-		ACOXL|ACVR2A|ACVRL1|ADAM28|ADAM32|ADARB2|ADHFE1|ADK|AFF1|AFF4|AKAP9|ALK|AMHR2|AR|ARID1A|ARNT|ATF2|ATR|AXIN1|AXIN2|AXL|BAI1|BCKDK|BCL9|BIRC6|BLK|BMF|BMI1|BMP2K|BMPR1A|BMPR1B|BRCA1|BRCA2|BRCC3|BRIP1|CACNA1F|CACNB2|CAD|CASC5|CASK|CASP10|CASP8|CCDC6|CCR4|CD160|CDC34|CDC42BPA|CDC42BPG|CDH1|CDH3|CDK12|CDK3|CDKL2|CDKL3|CEBPA|CFI|CHD1|CHD5|CHD9|CHEK2|CHL1|CIT|CLTC|CLTCL1|CNTN6|CNTRL|CREB1|CRTC1|CSF3|CSMD3|CTBP2|CTNNB1|CTSL1|CYFIP1|CYLD|DAB1|DACH1|DCLK2|DDR1|DFNA5|DLC1|DOCK3|DYRK1A|EIF3A|EIF4G1|ELAVL1|ELF4|EP300|EPHA4|EPHA6|EPHB4|ERBB4|ERCC5|ETV1|EXT1|F8|FAM118A|FANCA|FANCE|FBN1|FBXO43|FBXW7|FER|FGF19|FGFR1|FGFR2|FGFR3|FLNC|FLT4|FN1|FOS|FOXO3|FZD1|GATA2|GLI1|GLTSCR1|GLYAT|GNAS|GPR112|GPR87|GRK1|GRK4|GRK5|GRK6|GRK7|GSG2|GSK3B|HAPLN1|HDAC2|HDAC4|HDLBP|HECW1|HERC2|HIP1|HIPK2|HSP90B1|IDH1|IFNG|IKBKB|IL17RD|IL1A|IL1R1|INPP4B|INSR|IRAK2|IRS1|ITGB8|ITPR1|JAG1|JARID2|JAZF1|JUNB|KALRN|KAT6A|KAT6B|KDM5A|KDM6A|KIAA1549|KLK7|LAMA1|LATS1|LATS2|LCK|LCP1|LDLR|LETM2|LIFR|LIMK1|LRGUK|LRP1|LRP2|LRRK2|LTK|LYN|MALT1|MAML2|MAP2K2|MAP3K4|MAP3K5|MAP4K5|MAPKAPK3|MARK3|MAST2|MASTL|MCF2|MCM4|MDM4|MECOM|MEN1|MGA|MITF|MLH1|MLL3|MLLT4|MLLT6|MN1|MPL|MSH2|MSH6|MTMR11|MTOR|MUSK|MYC|MYH1|MYH9|MYLK|MYLK2|N4BP2|NAV3|NCAPD3|NCOA3|NEK1|NEK5|NEK6|NEK9|NF1|NFKB1|NIN|NIPBL|NOS2|NOS3|NOTCH2|NOTCH3|NOTCH4|NPAT|NR2F1|NRBP1|NSD1|NUDT10|NUDT11|NUP98|OBSCN|P2RX7|P4HB|PAXIP1|PCDH15|PDCD1|PDCD11|PDE4DIP|PDK3|PEAK1|PHIP|PI4KA|PIK3C2A|PIK3C3|PIK3CA|PIK3CB|PIK3CD|PIK3R4|PIP5K1B|PIP5K1C|PKHD1|PKN2|PLD1|PLEKHA5|PLK3|PORCN|PPARGC1A|PPM1E|PPP3CB|PRCC|PREX2|PRKAA2|PRKCB|PSEN1|PSIP1|PTCH2|PTPRC|PTPRD|PXK|RAC1|RAD50|RASGRF1|RASGRF2|RB1|RBBP8|REL|RGL1|RGS22|RHPN2|RIF1|RIPK4|RNASEL|ROBO1|ROBO2|ROCK2|ROR2|RPS6KA3|SCYL2|SEMA3B|SHC1|SIK2|SIK3|SLK|SMAD2|SMURF1|SNX19|SOS1|SOST|SOX10|SOX2|SP140|SPEN|STAR|STAT6|STIL|STK10|STK32A|STK38|STK38L|STK40|STRADA|STRADB|SYK|TCF12|TESK2|TFG|TIE1|TLE1|TLK1|TLR7|TMEM74|TMPO|TNFRSF11B|TNFRSF9|TNK2|TNKS2|TOP2A|TOX|TP53RK|TPM4|TPO|TPR|TRAF2|TRIM36|TRIM42|TRIO|TRIP11|TRRAP|TSSK4|TTL|TTN|UBR5|ULK2|ULK3|UNC13C|VDAC1|VRK1|VRK2|WEE1|WNK1|WRN|XIAP|YSK4|ZBTB16|ZMYM2|ZNF331|ZNF497|ZNF668|ACACB|ADAM12|AGAP2|ALPK2|BAG4|BCL3|CDH2|CSNK1E|DGKG|EGFR|EPHA3|EPHA5|FGFR1OP|FLNA|HEPH|HOXD13|ITK|MAP3K1|MAPK12|MLL|MST1R|NUAK2|NYNRIN|OSR1|PIK3C2G|PRAME|RALA|SLC14A1|SMAD4|SOGA2|TEK|TRIM28|WLS
DIPROPYL-5-CT	156314.0	HTR1D|HTR1F|HTR1B|SERPINA3	GuideToPharmacologyInteractions	DIPROPYL-5-CT	DIPROPYL-5-CT	Other	EXPERIMENTAL	-	-		HTR1D|HTR1F|HTR1B|SERPINA3
4-{[(2,6-DIFLUOROPHENYL)CARBONYL]AMINO}-N-[(3S)-PIPERIDIN-3-YL]-1H-PYRAZOLE-3-CARBOXAMIDE	24864082.0	CDK2	DrugBank	4-{[(2,6-DIFLUOROPHENYL)CARBONYL]AMINO}-N-[(3S)-PIPERIDIN-3-YL]-1H-PYRAZOLE-3-CARBOXAMIDE	4-{[(2,6-DIFLUOROPHENYL)CARBONYL]AMINO}-N-[(3S)-PIPERIDIN-3-YL]-1H-PYRAZOLE-3-CARBOXAMIDE	Other	EXPERIMENTAL	-	-	CDK2	
DELGOCITINIB	50914062.0	JAK1|JAK2|TYK2|JAK3	GuideToPharmacologyInteractions	JTE-052	DELGOCITINIB	Other	EXPERIMENTAL	-	-		JAK1|JAK2|TYK2|JAK3
CVT-313	6918386.0	CDK1|CDK2	GuideToPharmacologyInteractions	CDK2 INHIBITOR III	CVT-313	Other	EXPERIMENTAL	-	-		CDK1|CDK2
PROPYLTHIOURACIL	657298.0	DIO1|TPO|PRL|TNF|GJA1|LEP|IL2RA|BDNF|PRKAB1|TP53|MYO9B	TTD	PROPYLTHIOURACIL	PROPYLTHIOURACIL	Oxidoreductases_Inhibitor(KEGG), thyroid peroxidase inhibitor(Cmap)	APPROVED	Endocrinology	-	DIO1|TPO	PRL|TNF|GJA1|LEP|IL2RA|BDNF|PRKAB1|TP53|MYO9B
L-ASCORBIC ACID	54670067.0	PLOD1|PLA2G2A|P3H1|EGLN1|LCT|NFE2L2|UGT1A9|P4HTM|PLOD2|AGTR1|P3H2|ARSB|PAM|HSPA4|SLC23A1|PRL|GJA1|HSPB1|PLOD3|DBH|PHYH|P4HA1|CHUK|BBOX1|ALKBH3|P3H3|SP7|DDIT3|CDK4|DCN|ALKBH2|OGFOD2|EGLN3|CYP19A1|OGFOD1|GFAP|LPO|EGLN2|E2F1|COL18A1|G6PD|TMLHE|KDM5D	DrugBank	VITAMIN C	L-ASCORBIC ACID	Other	APPROVED	Nutraceutical	CLINICAL CANCER	PLOD1|P3H1|EGLN1|LCT|P4HTM|PLOD2|P3H2|PAM|SLC23A1|PLOD3|DBH|PHYH|P4HA1|BBOX1|ALKBH3|P3H3|ALKBH2|OGFOD2|EGLN3|OGFOD1|EGLN2|TMLHE|KDM5D	PLA2G2A|NFE2L2|UGT1A9|AGTR1|ARSB|HSPA4|PRL|GJA1|HSPB1|CHUK|SP7|DDIT3|CDK4|DCN|CYP19A1|GFAP|LPO|E2F1|COL18A1|G6PD
PIOGLITAZONE HYDROCHLORIDE	60560.0	PPARG	ChemblInteractions	PIOGLITAZONE HYDROCHLORIDE	PIOGLITAZONE HYDROCHLORIDE	Thyroid hormone like receptors_Agonist(KEGG)	APPROVED	Endocrinology	CLINICAL CANCER		PPARG
MRS1191	393594.0	ADORA3|ADORA1|ADORA2B|ADORA2A	GuideToPharmacologyInteractions	MRS1191	MRS1191	Other	EXPERIMENTAL	-	-		ADORA3|ADORA1|ADORA2B|ADORA2A
TOPOTECAN	60700.0	ALK|PIK3CA|TOP1MT|PTEN|BDNF|RB1|TP53|TYMS|MUC16|TOP1|ATRX	CKB	TOPOTECAN	TOPOTECAN	Isomerases_Inhibitor(KEGG), topoisomerase inhibitor(Cmap)	APPROVED	Oncology	OVARY|LUNG|CERVIX	TOP1MT|TOP1	ALK|PIK3CA|PTEN|BDNF|RB1|TP53|TYMS|MUC16|ATRX
MINAPRINE	4199.0	HTR2B|DRD1|ACHE|CHRM1|DRD2|HTR2A|SLC6A4|MAOA|HTR2C	TEND	MINAPRINE	MINAPRINE	Oxidoreductases_Inhibitor(KEGG), serotonin reuptake inhibitor(Cmap)	EXPERIMENTAL	-	-	HTR2B|DRD1|ACHE|CHRM1|DRD2|HTR2A|SLC6A4|MAOA|HTR2C	
2-AMINO-3-BENZYLOXYPYRIDINE	90334.0	MAPK14|LTA4H	DrugBank	3-(BENZYLOXY)PYRIDIN-2-AMINE	2-AMINO-3-BENZYLOXYPYRIDINE	Other	EXPERIMENTAL	-	-	MAPK14|LTA4H	
DOLUTEGRAVIR	54726191.0	UGT1A1	FDA	DOLUTEGRAVIR	DOLUTEGRAVIR	HIV integrase inhibitor(Cmap)	APPROVED	Immunology/Infectious disease	-		UGT1A1
NAPROXEN SODIUM	23681059.0	PTGS2|PTGS1	ChemblInteractions	NAPROXEN SODIUM	NAPROXEN SODIUM	Oxidoreductases_Inhibitor(KEGG)	APPROVED	Pain management	-		PTGS2|PTGS1
ALDOSTERONE	5839.0	NR3C2|SLC12A2|ABCB1|SCNN1B	GuideToPharmacologyInteractions	ALDOSTERONE	ALDOSTERONE	Estrogen like receptors_Agonist(KEGG)	CLINICAL_TRIALS	-	-	NR3C2|SLC12A2	ABCB1|SCNN1B
5-METHOXY-1,2-DIMETHYL-3-(PHENOXYMETHYL)INDOLE-4,7-DIONE	4469805.0	NQO1	DrugBank	5-METHOXY-1,2-DIMETHYL-3-(PHENOXYMETHYL)INDOLE-4,7-DIONE	5-METHOXY-1,2-DIMETHYL-3-(PHENOXYMETHYL)INDOLE-4,7-DIONE	Other	EXPERIMENTAL	-	-	NQO1	
912545-86-9	5284330.0	TRPC6	GuideToPharmacologyInteractions	SAG	912545-86-9	Other	EXPERIMENTAL	-	-		TRPC6
SB-290157	5311120.0	C3AR1	GuideToPharmacologyInteractions	SB290157	SB-290157	Other	EXPERIMENTAL	-	-		C3AR1
LABETUZUMAB GOVITECAN	91668184.0	CEACAM5	GuideToPharmacologyInteractions	LABETUZUMAB GOVITECAN	LABETUZUMAB GOVITECAN	Other	EXPERIMENTAL	-	-		CEACAM5
CITCO	9600409.0	NR1I3	GuideToPharmacologyInteractions	CITCO	CITCO	constitutive androstane receptor (CAR) agonist(Cmap)	CLINICAL_TRIALS	-	CANCER		NR1I3
THIAMYLAL	3032285.0	GABRA1|KCNJ11|KCNJ8	DrugBank	THIAMYLAL	THIAMYLAL	Cys-loop superfamily_Agonist(KEGG), glutamate receptor antagonist(Cmap)	WITHDRAWN	-	-	GABRA1|KCNJ11|KCNJ8	
BMS-908662	56931136.0	RAF1|BRAF|ARAF	ChemblInteractions	XL-281	BMS-908662	Other	CLINICAL_TRIALS	-	CANCER	RAF1|BRAF|ARAF	
PIOGLITAZONE	4829.0	SLC2A1|GHRL|PPARG|NR1I2|HSPA4|CYP3A4|TRPM3|THBS1|GFAP|TGFB1|PPARA	NCI	PIOGLITAZONE	PIOGLITAZONE	Thyroid hormone like receptors_Agonist(KEGG), insulin sensitizer(Cmap), PPAR receptor agonist(Cmap)	APPROVED	Endocrinology	CLINICAL CANCER	PPARG|PPARA	SLC2A1|GHRL|NR1I2|HSPA4|CYP3A4|TRPM3|THBS1|GFAP|TGFB1
CLOPOXIDE CHLORIDE	9916.0	GABRD|GABRG1|GABRA2|GABRA4|GABRB1|GABRB2|GABRA6|GABRA1|GABRG2|GABRP|GABRB3|GABRA5|GABRG3|GABRE|GABRA3|GABRQ	ChemblInteractions	CHLORDIAZEPOXIDE HYDROCHLORIDE	CLOPOXIDE CHLORIDE	Other	APPROVED	Psychiatry/Psychology	-		GABRD|GABRG1|GABRA2|GABRA4|GABRB1|GABRB2|GABRA6|GABRA1|GABRG2|GABRP|GABRB3|GABRA5|GABRG3|GABRE|GABRA3|GABRQ
(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL	9927355.0	ESR1|ESR2	DrugBank	(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL	(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL	Other	EXPERIMENTAL	-	-	ESR1|ESR2	
ADENOSINE	60961.0	ADORA3|ADORA1|PI4K2B|PI4K2A|ADORA2B|TRPM4|ADORA2A	ChemblInteractions	ADENOSINE	ADENOSINE	Rhodopsin family_Agonist(KEGG), adenosine receptor agonist(Cmap)	APPROVED	Cardiology/Vascular disease	-	ADORA3	ADORA1|PI4K2B|PI4K2A|ADORA2B|TRPM4|ADORA2A
IMIDAZOPYRIDAZIN 1	5459373.0	PIM1	DrugBank	IMIDAZOPYRIDAZIN 1	IMIDAZOPYRIDAZIN 1	Other	EXPERIMENTAL	-	-	PIM1	
BPH-675	16122555.0	GGPS1	GuideToPharmacologyInteractions	BPH-675	BPH-675	Other	EXPERIMENTAL	-	-		GGPS1
POTASSIUM 4-AMINOSALICYLATE	23690428.0	PTGS2|PTGS1	ChemblInteractions	AMINOSALICYLATE POTASSIUM	POTASSIUM 4-AMINOSALICYLATE	Other	EXPERIMENTAL	-	-		PTGS2|PTGS1
SAFOTIBANT	11953367.0	BDKRB1	ChemblInteractions	SAFOTIBANT	SAFOTIBANT	Other	EXPERIMENTAL	-	-		BDKRB1
EPITUMOMAB CITUXETAN	121494111.0	MUC1	moAb	EPITUMOMAB CITUXETAN	EPITUMOMAB CITUXETAN	Other	EXPERIMENTAL	-	-	MUC1	
ESTRONE	5870.0	UGT1A5|ESR1|PIK3CG|MYC|AKR1C1|STS	NCI	ESTRONE	ESTRONE	Estrogen like receptors_Agonist(KEGG), estrogen receptor agonist(Cmap), estrogenic hormone(Cmap)	WITHDRAWN	-	-	ESR1	UGT1A5|PIK3CG|MYC|AKR1C1|STS
BPIQ-I	2427.0	EGFR	GuideToPharmacologyInteractions	BPIQ-I	BPIQ-I	Other	EXPERIMENTAL	-	-		EGFR
CHEMBL459149	25155578.0	PREP	DrugBank	1-{3-OXO-3-[(2S)-2-(PYRROLIDIN-1-YLCARBONYL)PYRROLIDIN-1-YL]PROPYL}-3-PHENYLQUINOXALIN-2(1H)-ONE	CHEMBL459149	Other	EXPERIMENTAL	-	-	PREP	
ENTACAPONE	5281081.0	COMT	DrugBank	ENTACAPONE	ENTACAPONE	Transferases_Inhibitor(KEGG), catechol O methyltransferase inhibitor(Cmap)	APPROVED	Neurology	-	COMT	
COMPOUND 52	2856.0	MERTK|GSK3B|CDK1|CSNK1G1	DrugBank	2-(2-HYDROXYETHYLAMINO)-6-(3-CHLOROANILINO)-9-ISOPROPYLPURINE	COMPOUND 52	Other	EXPERIMENTAL	-	-	MERTK|CSNK1G1	GSK3B|CDK1
BENZNIDAZOLE	31593.0	PRL|TAT	NCI	BENZNIDAZOLE	BENZNIDAZOLE	DNA synthesis inhibitor(Cmap)	APPROVED	Immunology/Infectious disease	-		PRL|TAT
AP1903	16135625.0	MTOR	DrugBank	AP1903	AP1903	Other	CLINICAL_TRIALS	-	CANCER	MTOR	
GABEXATE	3447.0	TPSAB1	GuideToPharmacologyInteractions	GABEXATE	GABEXATE	Hydrolases_Inhibitor(KEGG), serine protease inhibitor(Cmap)	EXPERIMENTAL	-	-		TPSAB1
PAPAVERINE	4680.0	PDE4B|XDH|PDE5A|PDE10A|PLAU|ADRA1D	DrugBank	PAPAVERINE	PAPAVERINE	Hydrolases_Inhibitor(KEGG), phosphodiesterase inhibitor(Cmap)	CLINICAL_TRIALS	-	-	PDE4B|PDE5A|PDE10A	XDH|PLAU|ADRA1D
SODIUM ASCORBATE	23667548.0	G6PD	FDA	SODIUM ASCORBATE	SODIUM ASCORBATE	Other	APPROVED	Gastroenterology	-		G6PD
CHEMBL248176	16129582.0	MAPK10	DrugBank	4-{[5-CHLORO-4-(1H-INDOL-3-YL)PYRIMIDIN-2-YL]AMINO}-N-ETHYLPIPERIDINE-1-CARBOXAMIDE	CHEMBL248176	Other	EXPERIMENTAL	-	-	MAPK10	
280744-09-4	176158.0	GSK3B|GSK3A	GuideToPharmacologyInteractions	SB 216763	280744-09-4	Other	EXPERIMENTAL	-	-		GSK3B|GSK3A
MK-2894	24952929.0	PTGER4	GuideToPharmacologyInteractions	MK-2894	MK-2894	prostaglandin inhibitor(Cmap)	EXPERIMENTAL	-	-		PTGER4
3,5-DIHYDROXYBENZOIC ACID	7424.0	HCAR1	GuideToPharmacologyInteractions	3,5-DIHYDROXYBENZOIC ACID	3,5-DIHYDROXYBENZOIC ACID	Other	EXPERIMENTAL	-	-		HCAR1
PHENACYL-UDP	11994011.0	P2RY6	GuideToPharmacologyInteractions	3-PHENACYL-UDP	PHENACYL-UDP	Other	EXPERIMENTAL	-	-		P2RY6
NECROSTATIN-1	2828334.0	ADK|CREBBP|KALRN|KAT6B|PIK3CG|PRKCB|ZNF643	CTRP	NECROSTATIN-1	NECROSTATIN-1	RIPK inhibitor(Cmap)	EXPERIMENTAL	-	-		ADK|CREBBP|KALRN|KAT6B|PIK3CG|PRKCB|ZNF643
TPA-023	9908684.0	GABRA2|GABRA1|GABRA5|GABRA3	GuideToPharmacologyInteractions	TPA023	TPA-023	Other	EXPERIMENTAL	-	-		GABRA2|GABRA1|GABRA5|GABRA3
CYCLOTHIAZIDE	2910.0	GRIA2|GRIA1|CA1|CA2|GRIA4|FXYD2|SLC12A3|CA4	GuideToPharmacologyInteractions	CYCLOTHIAZIDE	CYCLOTHIAZIDE	glutamate receptor modulator(Cmap)	WITHDRAWN	-	-	CA1|CA2|FXYD2|CA4	GRIA2|GRIA1|GRIA4|SLC12A3
SULPROSTONE	5312153.0	PTGER3|PTGFR|PTGER1	GuideToPharmacologyInteractions	SULPROSTONE	SULPROSTONE	Rhodopsin family_Agonist(KEGG)	CLINICAL_TRIALS	-	-		PTGER3|PTGFR|PTGER1
NAPROXEN	156391.0	CPT2|PTGS2|ALB|CXCL8|PLAT|PTGS1|CYP2C9|SAA1|CYP1A2	GuideToPharmacologyInteractions	NAPROXEN	NAPROXEN	Oxidoreductases_Inhibitor(KEGG), cyclooxygenase inhibitor(Cmap)	APPROVED	Pain management	-	PTGS2|PTGS1	CPT2|ALB|CXCL8|PLAT|CYP2C9|SAA1|CYP1A2
FK-453	6439091.0	ADORA3|ADORA1|ADORA2B|ADORA2A	GuideToPharmacologyInteractions	FK-453	FK-453	Other	EXPERIMENTAL	-	-		ADORA3|ADORA1|ADORA2B|ADORA2A
DICYCLOMINE	3042.0	CHRM3|CHRM2|CHRM1	GuideToPharmacologyInteractions	DICYCLOMINE	DICYCLOMINE	Other	APPROVED	Gastroenterology	-	CHRM1	CHRM3|CHRM2
NEUROPEPTIDE Y	91928728.0	ANXA3|ANXA5|NPY4R|ANXA2P3|PRLHR	GuideToPharmacologyInteractions	NEUROPEPTIDE Y	NEUROPEPTIDE Y	Other	CLINICAL_TRIALS	-	-		ANXA3|ANXA5|NPY4R|ANXA2P3|PRLHR
152814-89-6	9842556.0	PDE4B|PDE4D|PDE4A|PDE4C	GuideToPharmacologyInteractions	RS-25344	152814-89-6	Other	EXPERIMENTAL	-	-		PDE4B|PDE4D|PDE4A|PDE4C
MK-0533	11678534.0	PPARG	ChemblInteractions	MK-0533	MK-0533	Other	EXPERIMENTAL	-	-		PPARG
SUVOREXANT	24965990.0	HCRTR1|HCRTR2	DrugBank	SUVOREXANT	SUVOREXANT	orexin receptor antagonist(Cmap)	APPROVED	Neurology	-	HCRTR1|HCRTR2	
ANDROSTENOL	101989.0	NR1I3	DrugBank	16,17-ANDROSTENE-3-OL	ANDROSTENOL	Other	EXPERIMENTAL	-	-	NR1I3	
INSULIN-GLARGINE	118984454.0	INSR	TTD	INSULIN-GLARGINE	INSULIN-GLARGINE	Other	APPROVED	Endocrinology	-	INSR	
OLAPARIB	23725625.0	PARP1|IDH1|VHL|PARP3|ATR|PIK3CA|HDAC2|MET|PTEN|ATM|CHEK1|KRAS|BRCA2|PARP2|IDH2|PALB2|FANCA|TP53|CDK12|ERBB2|BRCA1|CBLC|CHEK2|STAG2|ASXL1|ADK|CACNB2|CSNK1A1|DLL1|EPHA4|HDLBP|IRAK2|KALRN|LDHA|MLLT6|MSH2|PCDH15|PPARGC1A|PRAME|PTPRC|RIPK4|ROR2|TRAF2|HDAC4|TET2	DrugBank	OLAPARIB	OLAPARIB	Transferases_Inhibitor(KEGG), PARP inhibitor(Cmap)	APPROVED	Oncology	OVARY	PARP1|PARP3|PARP2	IDH1|VHL|ATR|PIK3CA|HDAC2|MET|PTEN|ATM|CHEK1|KRAS|BRCA2|IDH2|PALB2|FANCA|TP53|CDK12|ERBB2|BRCA1|CBLC|CHEK2|STAG2|ASXL1|ADK|CACNB2|CSNK1A1|DLL1|EPHA4|HDLBP|IRAK2|KALRN|LDHA|MLLT6|MSH2|PCDH15|PPARGC1A|PRAME|PTPRC|RIPK4|ROR2|TRAF2|HDAC4|TET2
BROMAZINE HYDROCHLORIDE	519514.0	HRH1	ChemblInteractions	BROMODIPHENHYDRAMINE HYDROCHLORIDE	BROMAZINE HYDROCHLORIDE	Other	WITHDRAWN	-	-		HRH1
